RESULTS OBTAINED AT DIFFERENT MOTOR SPEEDS (PWM VALUE 0.255) WITH AN ARDUINO MEGA 2560
WRITING TO 2 MCP4725 DACS VIA I2C.

THE NUMBER OF GOOD POINTS DEPENDS ON THE NUMBER OF READ REQUESTS THAT THE PROGRAM 
CAN ISSUE IN A CYCLE, SO IT SEEMS THAT WHEN PROCESSING POWER IS A LIMITATION THE 
MOTOR SHOULD BE SLOWED DOWN (SEE PARAMTER RPLIDAR_MOTOR_SPEED IN THE SKETCH)

UNDER ABOUT 135 THE MOTOR HAD DIFFICULTIES STARTING.

n_data  =   Number of point returned in a scan cycle 
max     =   Max distance (mm)
min     =   Min distance (mm)
avg     =   Average distance (mm)
avg_q   =   Average quality value returned
t(ms)   =   Miliseconds per cycle
Hz      =   Motor cycles per second

The number of points to process is n_data * Hz

=============================================================================================================
RPLIDAR READS, POLAR->CARTESIAN CONVERSION, 2xDAC WRITES
=============================================================================================================

@255 ---------------------------------------------------------------------------------------------------------
17:05:44.806 -> n_data: 1	 max: 3974.75	 min: 3974.75	 avg: 7949.50	 avg_q: 58.00	 t(ms): 1	Hz: 1000.00
17:05:44.806 -> n_data: 21	 max: 14157.00	 min: 0.00	 avg: 1319.94	 avg_q: 9.43	 t(ms): 10	Hz: 100.00
17:05:44.900 -> n_data: 192	 max: 5645.50	 min: 0.00	 avg: 255.40	 avg_q: 9.47	 t(ms): 95	Hz: 10.53
17:05:44.994 -> n_data: 145	 max: 5839.50	 min: 0.00	 avg: 325.93	 avg_q: 9.54	 t(ms): 74	Hz: 13.51
17:05:44.994 -> n_data: 2	 max: 8621.75	 min: 4029.00	 avg: 10636.25	 avg_q: 63.00	 t(ms): 2	Hz: 500.00
17:05:44.994 -> n_data: 29	 max: 3968.00	 min: 0.00	 avg: 550.45	 avg_q: 12.38	 t(ms): 14	Hz: 71.43
17:05:44.994 -> n_data: 19	 max: 12227.25	 min: 0.00	 avg: 906.21	 avg_q: 10.26	 t(ms): 9	Hz: 111.11
17:05:45.088 -> n_data: 162	 max: 6464.50	 min: 0.00	 avg: 379.82	 avg_q: 10.01	 t(ms): 81	Hz: 12.35
17:05:45.182 -> n_data: 194	 max: 15951.50	 min: 0.00	 avg: 352.71	 avg_q: 9.33	 t(ms): 99	Hz: 10.10
17:05:45.322 -> n_data: 190	 max: 8763.25	 min: 0.00	 avg: 340.01	 avg_q: 9.41	 t(ms): 96	Hz: 10.42
17:05:45.322 -> n_data: 39	 max: 589.00	 min: 0.00	 avg: 57.86	 avg_q: 8.64	 t(ms): 16	Hz: 62.50
17:05:45.416 -> n_data: 152	 max: 5609.75	 min: 0.00	 avg: 367.84	 avg_q: 10.24	 t(ms): 78	Hz: 12.82
17:05:45.510 -> n_data: 192	 max: 6080.50	 min: 0.00	 avg: 320.46	 avg_q: 9.46	 t(ms): 98	Hz: 10.20
17:05:45.510 -> n_data: 39	 max: 3968.00	 min: 0.00	 avg: 156.76	 avg_q: 7.69	 t(ms): 15	Hz: 66.67
17:05:45.603 -> n_data: 148	 max: 12352.50	 min: 0.00	 avg: 483.02	 avg_q: 10.95	 t(ms): 78	Hz: 12.82
17:05:45.697 -> n_data: 189	 max: 16064.50	 min: 0.00	 avg: 474.13	 avg_q: 9.16	 t(ms): 95	Hz: 10.53
17:05:45.791 -> n_data: 194	 max: 5622.50	 min: 0.00	 avg: 249.35	 avg_q: 9.27	 t(ms): 95	Hz: 10.53
17:05:45.885 -> n_data: 188	 max: 12096.00	 min: 0.00	 avg: 332.40	 avg_q: 9.81	 t(ms): 97	Hz: 10.31
17:05:45.978 -> n_data: 189	 max: 5613.50	 min: 0.00	 avg: 305.73	 avg_q: 9.53	 t(ms): 95	Hz: 10.53
17:05:46.119 -> n_data: 192	 max: 5607.75	 min: 0.00	 avg: 282.08	 avg_q: 10.02	 t(ms): 99	Hz: 10.10
17:05:46.213 -> n_data: 187	 max: 13519.50	 min: 0.00	 avg: 502.33	 avg_q: 9.82	 t(ms): 95	Hz: 10.53
17:05:46.307 -> n_data: 195	 max: 5623.75	 min: 0.00	 avg: 229.70	 avg_q: 9.50	 t(ms): 96	Hz: 10.42
17:05:46.353 -> n_data: 146	 max: 13120.50	 min: 0.00	 avg: 368.95	 avg_q: 9.85	 t(ms): 76	Hz: 13.16
17:05:46.400 -> n_data: 39	 max: 1794.50	 min: 0.00	 avg: 316.17	 avg_q: 12.95	 t(ms): 20	Hz: 50.00
17:05:46.494 -> n_data: 146	 max: 5654.50	 min: 0.00	 avg: 282.41	 avg_q: 9.74	 t(ms): 73	Hz: 13.70
17:05:46.494 -> n_data: 39	 max: 1794.00	 min: 0.00	 avg: 268.71	 avg_q: 13.77	 t(ms): 20	Hz: 50.00
17:05:46.588 -> n_data: 189	 max: 5608.25	 min: 0.00	 avg: 308.24	 avg_q: 9.26	 t(ms): 93	Hz: 10.75
17:05:46.682 -> n_data: 194	 max: 5606.25	 min: 0.00	 avg: 256.01	 avg_q: 9.34	 t(ms): 96	Hz: 10.42
17:05:46.775 -> n_data: 194	 max: 5636.50	 min: 0.00	 avg: 264.64	 avg_q: 9.25	 t(ms): 97	Hz: 10.31

@200 ---------------------------------------------------------------------------------------------------------
17:09:24.634 -> n_data: 38	 max: 9024.50	 min: 0.00	 avg: 597.03	 avg_q: 9.37	 t(ms): 19	Hz: 52.63
17:09:24.634 -> n_data: 2	 max: 1728.50	 min: 128.00	 avg: 992.25	 avg_q: 2.00	 t(ms): 1	Hz: 1000.00
17:09:24.728 -> n_data: 114	 max: 3791.50	 min: 0.00	 avg: 440.95	 avg_q: 10.91	 t(ms): 60	Hz: 16.67
17:09:24.775 -> n_data: 70	 max: 12061.25	 min: 0.00	 avg: 1059.13	 avg_q: 11.19	 t(ms): 36	Hz: 27.78
17:09:24.869 -> n_data: 180	 max: 3970.00	 min: 0.00	 avg: 279.11	 avg_q: 9.33	 t(ms): 95	Hz: 10.53
17:09:24.869 -> n_data: 63	 max: 14031.50	 min: 0.00	 avg: 859.48	 avg_q: 10.65	 t(ms): 31	Hz: 32.26
17:09:24.963 -> n_data: 168	 max: 3970.00	 min: 0.00	 avg: 291.90	 avg_q: 9.29	 t(ms): 90	Hz: 11.11
17:09:25.010 -> n_data: 6	 max: 4713.00	 min: 0.00	 avg: 2959.21	 avg_q: 18.17	 t(ms): 6	Hz: 166.67
17:09:25.010 -> n_data: 10	 max: 14658.00	 min: 0.00	 avg: 6099.85	 avg_q: 13.60	 t(ms): 5	Hz: 200.00
17:09:25.010 -> n_data: 14	 max: 3969.00	 min: 0.00	 avg: 1113.52	 avg_q: 15.71	 t(ms): 7	Hz: 142.86
17:09:25.010 -> n_data: 2	 max: 2407.00	 min: 263.00	 avg: 2538.50	 avg_q: 68.50	 t(ms): 2	Hz: 500.00
17:09:25.010 -> n_data: 13	 max: 10365.75	 min: 0.00	 avg: 3100.88	 avg_q: 19.31	 t(ms): 7	Hz: 142.86
17:09:25.056 -> n_data: 40	 max: 14912.50	 min: 0.00	 avg: 1069.28	 avg_q: 8.90	 t(ms): 19	Hz: 52.63
17:09:25.103 -> n_data: 124	 max: 15311.50	 min: 0.00	 avg: 465.62	 avg_q: 10.43	 t(ms): 67	Hz: 14.93
17:09:25.150 -> n_data: 68	 max: 9423.50	 min: 0.00	 avg: 1114.04	 avg_q: 11.03	 t(ms): 35	Hz: 28.57
17:09:25.244 -> n_data: 181	 max: 11471.50	 min: 0.00	 avg: 493.53	 avg_q: 9.72	 t(ms): 99	Hz: 10.10
17:09:25.291 -> n_data: 58	 max: 15823.50	 min: 0.00	 avg: 1034.30	 avg_q: 11.64	 t(ms): 28	Hz: 35.71
17:09:25.385 -> n_data: 166	 max: 12495.50	 min: 0.00	 avg: 334.91	 avg_q: 9.61	 t(ms): 89	Hz: 11.24
17:09:25.431 -> n_data: 72	 max: 15097.75	 min: 0.00	 avg: 953.05	 avg_q: 11.08	 t(ms): 39	Hz: 25.64
17:09:25.525 -> n_data: 184	 max: 16192.50	 min: 0.00	 avg: 391.32	 avg_q: 9.11	 t(ms): 97	Hz: 10.31
17:09:25.525 -> n_data: 2	 max: 16335.50	 min: 15.00	 avg: 8182.75	 avg_q: 1.00	 t(ms): 0	Hz: inf
17:09:25.572 -> n_data: 50	 max: 16320.50	 min: 0.00	 avg: 1407.51	 avg_q: 10.56	 t(ms): 26	Hz: 38.46
17:09:25.666 -> n_data: 182	 max: 3203.50	 min: 0.00	 avg: 266.93	 avg_q: 8.76	 t(ms): 96	Hz: 10.42
17:09:25.666 -> n_data: 4	 max: 10191.50	 min: 3968.00	 avg: 8375.37	 avg_q: 20.75	 t(ms): 3	Hz: 333.33
17:09:25.666 -> n_data: 1	 max: 3989.75	 min: 3989.75	 avg: 7979.50	 avg_q: 38.00	 t(ms): 1	Hz: 1000.00

@180 ---------------------------------------------------------------------------------------------------------
17:12:41.597 -> n_data: 12	 max: 10319.50	 min: 0.00	 avg: 2243.46	 avg_q: 15.58	 t(ms): 7	Hz: 142.86
17:12:41.597 -> n_data: 28	 max: 6912.00	 min: 0.00	 avg: 747.86	 avg_q: 12.96	 t(ms): 15	Hz: 66.67
17:12:41.738 -> n_data: 184	 max: 14031.50	 min: 0.00	 avg: 411.30	 avg_q: 9.43	 t(ms): 100	Hz: 10.00
17:12:41.738 -> n_data: 1	 max: 7741.75	 min: 7741.75	 avg: 15483.50	 avg_q: 32.00	 t(ms): 1	Hz: 1000.00
17:12:41.738 -> n_data: 8	 max: 15168.50	 min: 0.00	 avg: 5921.84	 avg_q: 17.62	 t(ms): 4	Hz: 250.00
17:12:41.738 -> n_data: 17	 max: 12871.50	 min: 0.00	 avg: 1597.54	 avg_q: 11.47	 t(ms): 10	Hz: 100.00
17:12:41.738 -> n_data: 25	 max: 10960.50	 min: 0.00	 avg: 1097.26	 avg_q: 13.92	 t(ms): 14	Hz: 71.43
17:12:41.785 -> n_data: 11	 max: 593.25	 min: 0.00	 avg: 119.07	 avg_q: 8.18	 t(ms): 5	Hz: 200.00
